- Jonathan Banda, Computer Science
- Felix Lengyel, Engineering
- Josh Drake, Criminal Justice
- Tyler Durden, Business
- Joe Black, Business
- Jose Torres, Engineering
- Jesse James, Mathematics
- Edward Cullen, Criminal Science
- Daniel Ramirez, Business
- Raul Hernandez, Computer Science
- Jesus Gomez, Engineering
- Jack Trainer, Criminal Justice
- Robert Baratheon, Business
- Daniel Ocean, Mathematics
- Walter White, Engineering
- Michael Scott, Business
- Steve Jobs, Computer Science
- Johnny Joestar, Mathematics
- Peter Quill, Computer Science
- Han Solo, Computer Science
- William Butcher, Engineering
- Larry David, Criminal Justice
